state,x,y
Andhra Pradesh,-100,-160
Arunachal Pradesh,185,135
Assam,165,95
Bihar,45,80
Chhattisgarh,-30,-25
Goa,-185,-150
Gujarat,-230,22
Haryana,-125,150
Himachal Pradesh,-120,200
Jharkhand,30,35
Karnataka,-160,-170
Kerala,-150,-250
Madhya Pradesh,-115,15
Maharashtra,-160,-60
Manipur,220,60
Meghalaya,165,75
Mizoram,195,25
Nagaland,220,95
Odisha,30,-35
Punjab,-145,185
Rajasthan,-180,90
Sikkim,110,125
Tamil Nadu,-110,-250
Telangana,-90,-100
Tripura,167,35
Uttar Pradesh,-50,90
Uttarakhand,-80,170
West Bengal,78,25
Andaman and Nicobar Islands,10,-210
Chandigarh,-145,170
Dadra and Nagar Haveli and Daman and Diu,-180,-60
Lakshadweep,-230,-250
New Delhi,-110,130
Puducherry,-49,-184
Ladakh,-120,265
Jammu and Kashmir,-147,195
